Ecological.Group,Wt.Best_S1,Wt.Low_S1,Wt.High_S1,Wt.Best_S2,Wt.Low_S2,Wt.High_S2,Wt.Best_S3,Wt.Low_S3,Wt.High_S3,Wt.Best_S4,Wt.Low_S4,Wt.High_S4,Wt.Best_S5,Wt.Low_S5,Wt.High_S5,Wt.Best_S6,Wt.Low_S6,Wt.High_S6,Wt.Best_S7,Wt.Low_S7,Wt.High_S7,Wt.Best_S8,Wt.Low_S8,Wt.High_S8,Wt.Best_S9,Wt.Low_S9,Wt.High_S9,Wt.Best_S10,Wt.Low_S10,Wt.High_S10,Wt.Best_S11,Wt.Low_S11,Wt.High_S11,Wt.Best_S12,Wt.Low_S12,Wt.High_S12,Wt.Best_S13,Wt.Low_S13,Wt.High_S13,Wt.Best_S14,Wt.Low_S14,Wt.High_S14,Wt.Best_S15,Wt.Low_S15,Wt.High_S15
Alvar species,26.666666666666664,17.77777777777778,22.22222222222222,111.11111111111111,88.88888888888889,102.22222222222223,208.88888888888889,204.44444444444446,204.44444444444443,160,168.88888888888889,164.44444444444446,0,0,0,57.77777777777778,62.22222222222222,53.33333333333333,106.66666666666667,88.88888888888889,102.22222222222221,97.77777777777777,80,102.22222222222221,115.55555555555556,88.88888888888889,111.11111111111111,253.33333333333331,244.44444444444443,248.88888888888889,315.55555555555554,311.1111111111111,306.66666666666663,293.3333333333333,288.88888888888886,293.3333333333333,128.88888888888889,97.77777777777779,120,266.6666666666667,257.77777777777777,266.6666666666667,346.66666666666663,351.1111111111111,328.88888888888886
Artificial structure dependent species,0,0,0,53.25,48,48,36.75,29.25,33.75,4.5,4.5,4.5,0,0,0,0,0,0,51.75,38.25,47.25,18.75,12,13.5,54.75,41.25,47.25,59.25,41.25,51.75,71.25,61.5,70.5,45.75,36,45,54.75,41.25,47.25,69,63.75,68.25,78,70.5,72.75
Bats,5.517241379310345,5.517241379310345,6.206896551724139,47.58620689655172,28.275862068965516,50.3448275862069,42.06896551724138,31.310344827586206,50.62068965517241,36.55172413793104,20,34.48275862068966,0,0,0,85.79310344827586,75.86206896551724,89.65517241379311,33.10344827586207,25.517241379310345,35.17241379310345,11.310344827586208,8.965517241379311,14.482758620689657,33.10344827586207,25.517241379310345,35.17241379310345,58.896551724137936,55.862068965517246,55.17241379310345,75.86206896551724,64.82758620689656,75.17241379310344,69.65517241379311,56.3448275862069,70.62068965517241,38.62068965517241,28.27586206896552,40.96551724137931,61.6551724137931,39.58620689655172,64.82758620689656,113.79310344827586,101.37931034482759,115.17241379310344
Forest species,325.7142857142857,257.85714285714283,325.7142857142857,420.7142857142857,271.4285714285714,379.99999999999994,447.85714285714283,352.85714285714283,393.5714285714285,366.4285714285714,325.7142857142857,298.5714285714285,67.85714285714285,67.85714285714285,67.85714285714285,380,325.7142857142857,352.85714285714283,515.7142857142857,488.5714285714285,474.99999999999994,420.7142857142857,380,379.99999999999994,515.7142857142857,488.5714285714285,474.99999999999994,637.8571428571428,651.4285714285714,570,678.5714285714286,746.4285714285714,610.7142857142857,583.5714285714286,569.9999999999999,502.1428571428571,556.4285714285713,569.9999999999999,502.1428571428571,624.2857142857142,597.1428571428571,529.2857142857142,719.2857142857142,787.142857142857,637.8571428571428
Mixed forest species,79.19999999999999,72,72,63.599999999999994,58.199999999999996,56.400000000000006,83.52,76.32,76.32,73.44,74.88,69.83999999999999,33.839999999999996,33.839999999999996,30.240000000000002,40.32,58.31999999999999,33.12,97.44,99.6,77.99999999999999,65.03999999999999,70.8,60,99.6,106.79999999999998,81.6,123.35999999999999,122.63999999999999,111.84,142.07999999999998,152.16,123.35999999999999,123.84,116.63999999999999,105.84,120.47999999999999,115.44,107.51999999999998,128.39999999999998,124.80000000000001,121.19999999999999,160.8,164.39999999999998,146.39999999999998
Ciscos,0,0,0,0,0,0,14,10,14,4,4,4,2,2,0,14,16,16,0,0,0,8,8,6,2,2,0,4,4,4,4,4,4,16,12,16,4,4,4,20,16,18,26,20,30
Mussels,22.22222222222222,11.11111111111111,16.666666666666668,100,105.55555555555556,88.88888888888889,105.55555555555556,83.33333333333334,100,61.11111111111111,72.22222222222223,50,77.77777777777777,66.66666666666667,72.22222222222223,161.11111111111111,150,161.11111111111111,67.77777777777777,67.77777777777777,62.22222222222222,122.22222222222221,116.66666666666666,116.66666666666666,107.77777777777777,84.44444444444444,102.22222222222221,113.33333333333331,106.66666666666669,113.33333333333331,146.66666666666666,135.55555555555554,141.11111111111111,130,107.77777777777777,118.88888888888889,101.11111111111111,78.88888888888889,84.44444444444444,196.66666666666663,184.44444444444443,185.55555555555554,233.33333333333331,216.66666666666663,222.22222222222223
Naturalized open habitat species,112.5,97.5,120,210,150,150,217.5,165,172.5,202.5,172.5,157.5,52.5,37.5,45,150,112.5,112.5,202.5,157.5,142.5,172.5,142.5,105,210,165,157.5,315,247.5,247.5,352.5,322.5,283.5,285,247.5,225,255,202.5,187.5,277.5,255,210,390,375,313.5
Oak savannah species,43.33333333333333,28.333333333333332,43.33333333333333,31.666666666666664,25,28.333333333333332,46.666666666666664,33.33333333333333,40,31.666666666666664,28.33333333333333,26.666666666666664,0,0,0,28.333333333333332,18.333333333333332,23.333333333333332,41.666666666666664,31.666666666666664,35,20,15,15,31.666666666666664,23.333333333333332,28.333333333333332,40,28.333333333333332,35,43.33333333333333,33.33333333333333,38.33333333333333,29.999999999999996,21.666666666666664,28.333333333333332,45,35,43.33333333333333,45,33.33333333333333,40,56.666666666666664,48.33333333333333,53.33333333333333
Riparian species,15,7.5,13.125,24.375,22.5,16.875,43.125,41.25,39.375,52.5,50.625,48.75,3.75,3.75,3.75,22.5,24.375,16.875,56.25,48.75,48.75,20.625,26.25,13.125,45,35.625,39.375,60,50.625,52.5,63.75,58.125,60,50.625,52.5,50.625,48.75,39.375,45,43.125,37.5,35.625,78.75,75,73.125
Riverine species,70.92670157068062,99.27748691099475,80.37696335078533,190.4973821989529,199.4502617801047,190.4973821989529,279.32984293193715,212.6806282722513,265.6020942408377,219.74345549738217,210.79057591623035,221.13612565445027,313.35078534031413,295.44502617801044,341.2041884816754,202.33507853403142,183.93193717277487,222.62827225130889,226.8062827225131,226.8062827225131,217.35602094240838,208.9005235602094,199.4502617801047,208.40314136125653,294.4502617801047,261.4240837696335,331.7539267015707,221.63350785340313,212.6806282722513,246.20418848167537,281.2198952879581,300.6178010471204,303.9005235602094,281.2198952879581,271.27225130890054,312.85340314136124,193.78010471204186,229.6910994764398,201.34031413612564,294.4502617801047,303.40314136125653,322.8010471204188,417.8010471204188,408.84816753926697,426.7539267015706
Sandy species,79.99999999999999,79.99999999999999,75,85,79.99999999999999,65,110,114.99999999999999,104.99999999999999,135,150,130,0,0,0,79.99999999999999,89.99999999999999,65,159.99999999999997,165,144.99999999999997,65,79.99999999999999,50,120,130,109.99999999999999,159.99999999999997,170,150,175,190,159.99999999999997,140,175,140,140,150,130,110,120,104.99999999999999,190,194.99999999999997,165
Snakes and lizard,59.99999999999999,50,45,85,80,70,130,130,95,135,125,110,155,135,130,80,69.99999999999999,65,160,145,135,80,80,55,170,170,150,140,145,125,165,175,145,125,114.99999999999999,105.00000000000001,130,130,115,114.99999999999999,110,105,195,220,190
Turtles,86,80,68,106,90,100,162,160,156,138,140,136,206,196,204,83.6,81.6,76,167.6,161.6,172,78,86,72,214,217.6,204,174,168,184,207.6,213.6,209.6,163.6,164,164,158,149.6,153.6,158,160,156,263.6,248,233.6
Wetland species,102.60000000000001,144,108,180,237.6,171,315,324,342,333,351,315,84.60000000000001,126,99,153,207,135,297,306,279,153,243,153,297,309.59999999999997,288,414,417.59999999999997,405,450,450,432,414,441,432,279,306,261,369,396,345.59999999999997,522,513,495
Working landscapes species,0,0,0,33.75,30,35.625,20.625,20.625,22.5,9.375,11.25,7.5,0,0,0,7.5,7.5,5.625,28.125,26.25,28.125,20.625,28.125,20.625,20.625,15,22.5,22.5,16.875,24.375,33.75,30,37.5,22.5,20.625,26.25,20.625,18.75,22.5,39.375,37.5,45,46.875,43.125,52.5
