"Ecological.Group","Wt.Best_Baseline","Wt.Low_Baseline","Wt.High_Baseline","Wt.Best_S1","Wt.Low_S1","Wt.High_S1","Wt.Best_S2","Wt.Low_S2","Wt.High_S2","Wt.Best_S3","Wt.Low_S3","Wt.High_S3","Wt.Best_S4","Wt.Low_S4","Wt.High_S4","Wt.Best_S5","Wt.Low_S5","Wt.High_S5","Wt.Best_S6","Wt.Low_S6","Wt.High_S6","Wt.Best_S7","Wt.Low_S7","Wt.High_S7","Wt.Best_S8","Wt.Low_S8","Wt.High_S8","Wt.Best_S9","Wt.Low_S9","Wt.High_S9","Wt.Best_S10","Wt.Low_S10","Wt.High_S10","Wt.Best_S11","Wt.Low_S11","Wt.High_S11","Wt.Best_S12","Wt.Low_S12","Wt.High_S12","Wt.Best_S13","Wt.Low_S13","Wt.High_S13","Wt.Best_S14","Wt.Low_S14","Wt.High_S14","Wt.Best_S15","Wt.Low_S15","Wt.High_S15"
"Alvar species",40,24.4444444444444,48.8888888888889,41.8333333333333,25.6666666666667,50.4166666666667,49.0277777777778,31.6666666666667,57.1944444444444,50.9666666666667,35.1777777777778,59.6222222222222,50.2,35.2111111111111,59.3722222222222,40,24.4444444444444,48.8888888888889,43.1777777777778,27.8666666666667,51.8222222222222,48.2666666666667,31.3333333333333,56.8111111111111,47.3333333333333,30.4444444444444,56.5555555555556,49.2444444444444,31.5555555555556,57.7777777777778,58.05,41.8611111111111,66.6222222222222,63.2722222222222,47.3888888888889,71.5055555555555,57.2333333333333,41.4166666666667,66.1222222222222,49.3444444444444,31.5333333333333,57.5888888888889,58.6666666666667,42.4888888888889,67.5555555555556,64.2666666666667,49.0222222222222,71.9111111111111
"Artificial structure dependent spp",48,37.25,57.5,48,37.25,57.5,59.5375,47.65,67.9,53.145,41.345,62.225,48.765,38.015,58.265,48,37.25,57.5,48,37.25,57.5,58.695,45.155,67.265,51.75,39.65,60.2,59.68,46.05,67.58,59.2575,45.0875,67.3325,62.0125,49.345,71.365,55.1675,42.89,64.55,58.585,45.225,66.635,60.88,49.15,70.24,62.56,50.41,71.08
"Bats",38.1034482758621,19.3103448275862,46.3793103448276,38.8620689655172,20.0689655172414,47.2327586206897,45.8362068965517,23.9051724137931,54.5603448275862,42.5206896551724,22.5979310344828,51.6944827586207,42.7637931034483,21.8603448275862,50.7758620689655,38.1034482758621,19.3103448275862,46.3793103448276,47.5406896551724,27.6551724137931,56.2413793103448,43.2344827586207,23.2655172413793,51.8310344827586,39.8,20.6551724137931,48.551724137931,43.4,23.3931034482759,52.0068965517241,46.4962068965517,27.2706896551724,54.2413793103448,49.2931034482759,28.8724137931034,57.4672413793103,46.2879310344828,25.9308620689655,54.6772413793103,43.7034482758621,23.4103448275862,52.3193103448276,46.7351724137931,24.8524137931034,55.4551724137931,54.0344827586207,33.5034482758621,62.5034482758621
"Forest species",45,27.8571428571429,55.7142857142857,54.4285714285714,35.3214285714286,65.1428571428571,59.3928571428571,37.1428571428571,68.7142857142857,54.9,35.6571428571429,64.4142857142857,54.8357142857143,36.6,63.7285714285714,47.3928571428571,30.25,58.1071428571429,53.8,35.4,63.8857142857143,61.8285714285714,43.8,71.2142857142857,58.2857142857143,39.8571428571429,67.7142857142857,62.3714285714286,44.3142857142857,71.7142857142857,64.1357142857143,47.4,72.8142857142857,66.0714285714286,51.0357142857143,74.6785714285714,59.4357142857143,41.9571428571429,68.1357142857143,61.9857142857143,45.2571428571429,71.0428571428571,63.4,45.4571428571429,71.3142857142857,66.2,51.0571428571428,74.5142857142857
"Mixed forest species",48.4,31.4,59.6,55.66,38,66.2,55.29,37.705,65.71,54.2464,36.7424,64.9424,54.6424,37.7648,65.5364,52.1788,35.1788,62.9768,51.3568,35.6768,62.0288,58.4688,41.692,67.66,54.904,38.48,65.6,59.024,42.792,68.304,60.1192,43.0508,70.2248,62.3712,46.3624,71.7304,58.1008,40.5368,67.8908,60.0464,42.5592,69.9936,60.384,43.048,70.912,63.408,46.744,73.264
"Ciscos",39,30,46,39,30,46,39,30,46,41.94,32.1,48.94,40.02,31.02,47.02,39.67,30.67,46,42.08,33.52,49.52,39,30,46,41.4,32.4,47.8,39.64,30.64,46,40.14,31.14,47.14,40.18,31.18,47.18,42.76,32.82,49.76,40.16,31.16,47.16,44.6,34.48,51.04,46.28,35.6,54.4
"Mussels",46.6666666666667,31.6666666666667,55,47.8888888888889,32.2777777777778,55.9166666666667,53.1666666666667,38.5277777777778,60.7777777777778,51.1,35.1666666666667,59.2,49.7833333333333,35.35,57.55,51.8777777777778,36.1333333333333,59.8388888888889,53.7555555555556,38.2666666666667,62.0888888888889,50.8688888888889,35.8688888888889,58.8577777777778,54,38.6666666666667,62,53.5644444444444,37.0711111111111,61.5422222222222,53.1266666666667,37.7466666666667,61.46,55.32,39.6644444444444,63.3255555555556,52.7766666666667,36.7322222222222,60.5877777777778,52.5311111111111,36.2422222222222,59.8977777777778,57.68,41.9955555555556,65.3911111111111,59.7333333333333,43.8,67.4444444444444
"Naturalized open habitat spp",48.125,34.375,61.875,53.28125,38.84375,67.375,59.5,42.5,70,55.7375,40.15,67.9125,56.73125,41.70625,68.56875,51.05625,36.46875,64.3875,53.625,38.5,66,58.5875,42.5125,69.2375,56.75,41.5,67.125,59.325,43.175,70.275,63.0875,46.13125,73.63125,65.45625,50.23125,75.81375,59.2875,44.06875,70.6875,60.45,44.1625,70.9375,61.075,46.275,71.675,66.325,51.875,76.505
"Oak savannah species",44.1666666666667,30,55,56.0833333333333,37.7916666666667,66.9166666666667,54.4583333333333,38.125,64.2083333333333,53.9666666666667,37,63.4,52.2416666666667,37.225,61.8,44.1666666666667,30,55,50.4,34.0333333333333,60.1333333333333,57.0833333333333,39.8166666666667,65.85,50.1666666666667,34.5,59.5,54.3,37.4666666666667,64.0666666666667,55.5666666666667,38.075,64.975,56.95,39.8333333333333,66.3083333333333,51.2166666666667,35.0916666666667,61.6583333333333,57.2166666666667,40.15,67.5666666666667,56.7666666666667,39.3333333333333,66.2,60.0333333333333,43.5333333333333,69.9333333333333
"Riparian species",47.5,32.5,57.5,50.25,33.875,59.90625,52.78125,37.375,61.15625,53.5375,38.275,63.0125,56.425,41.10625,65.7875,48.3375,33.3375,58.3375,50.8,36.075,59.975,59.125,42.575,67.575,51.625,37.75,60.125,57.1,40.1,65.9,58.9,42.11875,67.475,60.0375,43.93125,69.3,55.43125,40.725,65.43125,56.925,40.1125,66.2,55.55,39.5,64.15,62.2,46.5,71.15
"Riverine species",45.5759162303665,32.0418848167539,54.0837696335078,47.629057591623,34.9157068062827,56.4104712041885,52.0929319371728,38.8651832460733,60.6007853403141,51.7505759162304,36.7432460732984,59.9549738219895,51.4742931937173,37.6999476439791,60.0195287958115,56.6256544502618,42.4602094240838,66.1157068062827,50.2615706806283,36.3013612565445,59.2393717277487,52.9769633507853,39.4429319371728,61.1764397905759,52.1727748691099,38.3403141361257,60.6649214659686,55.4942408376963,40.8477486910995,65.2586387434555,52.2249214659686,38.4223036649215,61.4698952879581,54.3085340314136,41.3768586387435,63.5206806282722,52.5324083769633,38.7523036649215,61.8227748691099,51.4913089005236,39.0535078534031,60.2299476439791,54.2544502617801,40.9842931937173,63.5979057591623,57.8900523560209,44.0921465968586,66.661780104712
"Sandy species",50,33.5714285714286,59.2857142857143,56.2857142857143,39.8571428571429,65.1785714285714,57.8928571428571,41,65.3214285714286,56.6,40.4714285714286,65.5857142857143,59.8357142857143,44.5,68.7571428571429,50,33.5714285714286,59.2857142857143,55.0285714285714,39.2285714285714,63.3714285714286,64.1714285714286,48.1857142857143,72.1285714285714,55.5714285714286,40.4285714285714,63.5714285714286,60.9714285714286,45.4571428571429,69.3428571428571,63.0285714285714,47.4142857142857,71.5,64.75,49.5857142857143,72.7714285714286,59.4,45.3214285714286,68.6857142857143,61.6,46,70.0571428571428,58.8,43.1714285714286,67.6857142857143,65.2,49.1714285714286,72.4857142857143
"Snakes and lizard",50.5555555555556,35,62.7777777777778,54.2222222222222,38.0555555555556,65.5277777777778,56.6944444444444,40.7777777777778,67.8333333333333,56.6222222222222,41.0666666666667,67.2111111111111,58.2055555555556,42.0833333333333,69.0111111111111,62.0944444444444,45.05,72.4555555555555,54.4666666666667,38.4222222222222,65.9555555555555,61.5777777777778,44.9888888888889,72.0777777777778,55.8888888888889,40.3333333333333,66.4444444444444,62.6444444444444,47.0888888888889,73.4444444444444,59.4222222222222,44.1833333333333,70.6944444444444,61.3722222222222,46.4722222222222,72.2833333333333,57.0833333333333,41.0055555555556,68.2611111111111,58.9333333333333,43.3777777777778,70.1888888888889,57.7111111111111,41.8444444444444,69.3111111111111,62.6888888888889,48.6888888888889,74.6
"Turtles",39.25,25,49.5,45.1625,30.5,54.175,47.8625,32.3125,57.625,47.755,33.4,57.69,48.0475,33.925,58.17,56.5025,41.415,66.585,43.848,29.488,53.68,52.239,37.524,62.83,45.1,31.45,54.9,56.37,42.408,65.82,51.6475,36.97,62.61,54.5605,40.753,64.958,48.8615,34.635,59.135,50.705,35.846,60.636,50.31,36.2,60.42,57.702,42.36,65.852
"Wetland species",46.5,32.5,55,49.635,36.9,58.3,53,41.08,61.175,53.85,40.06,62.98,55.935,42.445,63.925,49.649,37.19,58.685,50.24,37.56,58.3,56.73,43.04,64.61,51.6,40.6,60.1,57.06,43.508,65.24,59.61,45.724,67.825,61.25,47.25,69.16,57.31,44.015,66.28,55.49,42.36,63.41,57.98,44.82,65.752,62.74,48.46,70.4
"Working landscapes species",60.625,46.875,68.75,60.625,46.875,68.75,67.9375,53.375,76.46875,63.5125,49.7625,71.9,62.21875,48.7875,70.025,60.625,46.875,68.75,61.725,47.975,69.575,66.4375,52.3,74.5625,64.75,52.5,72.875,65.025,50.075,73.55,64.9,50.08125,73.38125,67.2625,52.775,76.125,64.15,50.10625,72.8625,64.6125,50.5,73.1,67.975,53.875,77.15,69.375,54.925,78.55
